Time, KP, KD, KI, PID, Angle
4, 5, 10, 0.3, -1840.909090909091, 0.0
34, 5, 10, 0.3, 1840.909090909091, 0.0
57, 5, 10, 0.3, 1838.409090909091, -0.5
70, 5, 10, 0.3, 1845.909090909091, 0.0
94, 5, 10, 0.3, 1840.909090909091, 0.0
117, 5, 10, 0.3, 1840.909090909091, 0.0
145, 5, 10, 0.3, 1838.409090909091, -0.5
165, 5, 10, 0.3, 1860.909090909091, 3.0
187, 5, 10, 0.3, 1835.909090909091, 5.0
220, 5, 10, 0.3, 1840.909090909091, 10.0
232, 5, 10, 0.3, 1813.409090909091, 14.5
258, 5, 10, 0.3, 1803.409090909091, 21.5
271, 5, 10, 0.3, 1748.409090909091, 24.5
298, 5, 10, 0.3, 1768.409090909091, 34.5
321, 5, 10, 0.3, 1713.409090909091, 43.50000000000001
338, 5, 10, 0.3, 1645.909090909091, 48.00000000000001
378, 5, 10, 0.3, 1693.409090909091, 66.5
403, 5, 10, 0.3, 1573.409090909091, 79.5
437, 5, 10, 0.3, 1528.409090909091, 96.5
463, 5, 10, 0.3, 1450.909090909091, 115.0
497, 5, 10, 0.3, 1365.909090909091, 135.0
523, 5, 10, 0.3, 1258.409090909091, 153.5
553, 5, 10, 0.3, 1155.909090909091, 170.0
579, 5, 10, 0.3, 1103.409090909091, 192.5
599, 5, 10, 0.3, 968.409090909091, 210.5
613, 5, 10, 0.3, 825.909090909091, 218.0
634, 5, 10, 0.3, 853.409090909091, 238.5
660, 5, 10, 0.3, 743.409090909091, 257.5
688, 5, 10, 0.3, 660.909090909091, 279.0
704, 5, 10, 0.3, 520.909090909091, 294.0
734, 5, 10, 0.3, 483.409090909091, 316.5
750, 5, 10, 0.3, 325.9090909090909, 330.0
788, 5, 10, 0.3, 295.9090909090909, 351.0
811, 5, 10, 0.3, 161.5636363636364, 366.0
834, 5, 10, 0.3, 99.0636363636364, 383.5
858, 5, 10, 0.3, -23.43636363636361, 394.0
877, 5, 10, 0.3, -83.43636363636362, 403.0
901, 5, 10, 0.3, -125.9363636363636, 412.5
912, 5, 10, 0.3, -185.9363636363636, 419.5
948, 5, 10, 0.3, -193.4363636363636, 432.0
967, 5, 10, 0.3, -273.4363636363636, 441.0
992, 5, 10, 0.3, -318.4363636363636, 450.0
1018, 5, 10, 0.3, -378.4363636363636, 456.0
1034, 5, 10, 0.3, -418.4363636363636, 460.0000000000001
1062, 5, 10, 0.3, -430.9363636363636, 465.5
1101, 5, 10, 0.3, -460.9363636363636, 470.5
1112, 5, 10, 0.3, -498.4363636363636, 473.0
1141, 5, 10, 0.3, -513.4363636363636, 475.0
1168, 5, 10, 0.3, -530.9363636363636, 475.5
1197, 5, 10, 0.3, -535.9363636363636, 475.5
1221, 5, 10, 0.3, -535.9363636363636, 475.5
1234, 5, 10, 0.3, -540.9363636363635, 474.5
1257, 5, 10, 0.3, -540.9363636363635, 472.5000000000001
1290, 5, 10, 0.3, -545.9363636363636, 467.5
1322, 5, 10, 0.3, -530.9363636363636, 460.5
1341, 5, 10, 0.3, -475.9363636363636, 457.5
1382, 5, 10, 0.3, -505.9363636363636, 445.5
1415, 5, 10, 0.3, -438.4363636363636, 435.0000000000001
1442, 5, 10, 0.3, -395.9363636363636, 422.5
1464, 5, 10, 0.3, -320.9363636363636, 412.5
1487, 5, 10, 0.3, -263.4363636363636, 404.0
1515, 5, 10, 0.3, -220.9363636363636, 395.5
1530, 5, 10, 0.3, -190.9363636363636, 384.5
1540, 5, 10, 0.3, -95.93636363636362, 381.5
1567, 5, 10, 0.3, -100.9363636363636, 374.5
1593, 5, 10, 0.3, -61.03181818181816, 368.5
1619, 5, 10, 0.3, -28.53181818181815, 363.0
1641, 5, 10, 0.3, 11.46818181818185, 360.0
1662, 5, 10, 0.3, 26.46818181818185, 357.0
1680, 5, 10, 0.3, 48.96818181818185, 355.5
1698, 5, 10, 0.3, 58.96818181818185, 354.5
1709, 5, 10, 0.3, 63.96818181818185, 353.5
1733, 5, 10, 0.3, 73.96818181818185, 353.5
1752, 5, 10, 0.3, 73.96818181818185, 353.5
1799, 5, 10, 0.3, 83.96818181818185, 355.5
1830, 5, 10, 0.3, 73.96818181818185, 357.5
1843, 5, 10, 0.3, 63.96818181818185, 359.5
1860, 5, 10, 0.3, 53.96818181818185, 361.5
1882, 5, 10, 0.3, 38.96818181818185, 362.5
1907, 5, 10, 0.3, 33.96818181818185, 363.5
1921, 5, 10, 0.3, 23.96818181818185, 363.5
1948, 5, 10, 0.3, 23.96818181818185, 363.5
1975, 5, 10, 0.3, 26.46818181818185, 364.0
1987, 5, 10, 0.3, 21.46818181818185, 364.0
2016, 5, 10, 0.3, 26.46818181818185, 365.0
2030, 5, 10, 0.3, 19.7727272727273, 365.5
2064, 5, 10, 0.3, 20.27727272727276, 366.5
2092, 5, 10, 0.3, 10.78181818181821, 366.5
2114, 5, 10, 0.3, 13.63636363636367, 367.0
2135, 5, 10, 0.3, 8.990909090909128, 367.0
2156, 5, 10, 0.3, 11.69545454545458, 367.5
2187, 5, 10, 0.3, 6.900000000000039, 367.5
2204, 5, 10, 0.3, 11.8045454545455, 368.5
2229, 5, 10, 0.3, 1.709090909090952, 368.5
